sd,sgg,sd_code,sgg_code
seoul,jongno,11,11010
seoul,jung,11,11020
seoul,yongsan,11,11030
seoul,seongdong,11,11040
seoul,dongdaemun,11,11060
seoul,jungnang,11,11070
seoul,seongbuk,11,11080
seoul,dobong,11,11100
seoul,nowon,11,11110
seoul,eunpyeong,11,11120
seoul,seodaemun,11,11130
seoul,mapo,11,11140
seoul,yangcheon,11,11150
seoul,gangseo,11,11160
seoul,guro,11,11170
seoul,yeongdeungpo,11,11190
seoul,dongjak,11,11200
seoul,gwanak,11,11210
seoul,seocho,11,11220
seoul,gangnam,11,11230
seoul,songpa,11,11240
seoul,gangdong,11,11250
busan,jung,21,21010
busan,seo,21,21020
busan,dong,21,21030
busan,yeongdo,21,21040
busan,busanjin,21,21050
busan,dongnae,21,21060
busan,nam,21,21070
busan,buk,21,21080
busan,haeundae,21,21090
busan,saha,21,21100
busan,geumjeong,21,21110
busan,gangseo,21,21120
daegu,jung,22,22010
daegu,dong,22,22020
daegu,seo,22,22030
daegu,nam,22,22040
daegu,buk,22,22050
daegu,suseong,22,22060
daegu,dalseo,22,22070
incheon,jung,23,23010
incheon,dong,23,23020
incheon,nam,23,23030
incheon,namdong,23,23050
incheon,seo,23,23080
incheon,buk,23,23800
gwangju,dong,24,24010
gwangju,seo,24,24020
gwangju,buk,24,24040
gwangju,gwangsan,24,24050
gwangju,dong,25,25010
daejeon,jung,25,25020
daejeon,seo,25,25030
daejeon,yuseong,25,25040
daejeon,daedeok,25,25050
gyeonggi,suwon jangan,31,31011
gyeonggi,suwon gwonseon,31,31012
gyeonggi,seongnam sujeong,31,31021
gyeonggi,seongnam jungwon,31,31022
gyeonggi,uijeongbu,31,31030
gyeonggi,manan branch,31,31041
gyeonggi,dongan branch,31,31042
gyeonggi,jung,31,31056
gyeonggi,nam,31,31057
gyeonggi,gwangmyeong,31,31060
gyeonggi,pyeongtaek,31,31070
gyeonggi,dongducheon,31,31080
gyeonggi,ansan,31,31090
gyeonggi,gwacheon,31,31110
gyeonggi,guri,31,31120
gyeonggi,osan,31,31140
gyeonggi,siheung,31,31150
gyeonggi,gunpo,31,31160
gyeonggi,uiwang,31,31170
gyeonggi,hanam,31,31180
gyeonggi,yangju,31,31310
gyeonggi,yeoju,31,31320
gyeonggi,hwaseong,31,31330
gyeonggi,paju,31,31340
gyeonggi,gwangju,31,31350
gyeonggi,yeoncheon,31,31360
gyeonggi,pocheon,31,31370
gyeonggi,gapyeong,31,31380
gyeonggi,yangpyeong,31,31390
gyeonggi,icheon,31,31400
gyeonggi,yongin,31,31410
gyeonggi,anseong,31,31420
gyeonggi,gimpo,31,31430
gyeonggi,songtan,31,31800
gyeonggi,migeum,31,31810
gyeonggi,namyangju,31,31820
gyeonggi,pyeongtaek,31,31830
gyeonggi,goyang,31,31840
gyeonggi,ganghwa,31,31850
gyeonggi,ongjin,31,31860
gangwon,chuncheon,32,32010
gangwon,wonju,32,32020
gangwon,gangneung,32,32030
gangwon,donghae,32,32040
gangwon,taebaek,32,32050
gangwon,sokcho,32,32060
gangwon,samcheok,32,32070
gangwon,hongcheon,32,32310
gangwon,hoengseong,32,32320
gangwon,yeongwol,32,32330
gangwon,pyeongchang,32,32340
gangwon,jeongseon,32,32350
gangwon,cheorwon,32,32360
gangwon,hwacheon,32,32370
gangwon,yanggu,32,32380
gangwon,inje,32,32390
gangwon,goseong,32,32400
gangwon,yangyang,32,32410
gangwon,chunseong,32,32800
gangwon,wonju,32,32810
gangwon,myeongju,32,32820
gangwon,samcheok,32,32830
chungbuk,cheongju dongbu branch,33,33011
chungbuk,cheongju seobu branch,33,33012
chungbuk,chungju,33,33020
chungbuk,jecheon,33,33030
chungbuk,cheongwon,33,33310
chungbuk,boeun,33,33320
chungbuk,okcheon,33,33330
chungbuk,yeongdong,33,33340
chungbuk,jincheon,33,33350
chungbuk,goesan,33,33360
chungbuk,eumseong,33,33370
chungbuk,danyang,33,33380
chungbuk,jungwon,33,33800
chungbuk,jewon,33,33810
chungnam,cheonan,34,34010
chungnam,gongju,34,34020
chungnam,seosan,34,34050
chungnam,geumsan,34,34310
chungnam,yeongi,34,34320
chungnam,nonsan,34,34330
chungnam,buyeo,34,34340
chungnam,seocheon,34,34350
chungnam,cheongyang,34,34360
chungnam,hongseong,34,34370
chungnam,yesan,34,34380
chungnam,taean,34,34390
chungnam,dangjin,34,34400
chungnam,gyeryong branch,34,34410
chungnam,daecheon,34,34800
chungnam,onyang,34,34810
chungnam,gongju,34,34820
chungnam,boryeong,34,34830
chungnam,seosan,34,34840
chungnam,asan,34,34850
chungnam,cheonwon,34,34860
jeonbuk,jeonju wansan,35,35011
jeonbuk,jeonju deokjin,35,35012
jeonbuk,gunsan,35,35020
jeonbuk,namwon,35,35050
jeonbuk,gimje,35,35060
jeonbuk,wanju,35,35310
jeonbuk,jinan,35,35320
jeonbuk,muju,35,35330
jeonbuk,jangsu,35,35340
jeonbuk,imsil,35,35350
jeonbuk,sunchang,35,35360
jeonbuk,gochang,35,35370
jeonbuk,buan,35,35380
jeonbuk,iri,35,35800
jeonbuk,jeongju,35,35810
jeonbuk,namwon,35,35820
jeonbuk,jeongeup,35,35830
jeonbuk,gimje,35,35840
jeonbuk,okgu,35,35850
jeonbuk,iksan,35,35860
jeonnam,mokpo,36,36010
jeonnam,yeosu,36,36020
jeonnam,suncheon,36,36030
jeonnam,naju,36,36040
jeonnam,yeocheon,36,36050
jeonnam,damyang,36,36310
jeonnam,gokseong,36,36320
jeonnam,gurye,36,36330
jeonnam,yeocheon,36,36340
jeonnam,goheung,36,36350
jeonnam,boseong,36,36360
jeonnam,hwasun,36,36370
jeonnam,jangheung,36,36380
jeonnam,gangjin,36,36390
jeonnam,haenam,36,36400
jeonnam,yeongam,36,36410
jeonnam,muan,36,36420
jeonnam,hampyeong,36,36430
jeonnam,yeonggwang,36,36440
jeonnam,jangseong,36,36450
jeonnam,wando,36,36460
jeonnam,jindo,36,36470
jeonnam,sinan,36,36480
jeonnam,donggwangyang,36,36800
jeonnam,gwangyang,36,36810
jeonnam,seungju,36,36820
jeonnam,naju,36,36830
gyeongbuk,pohang,37,37010
gyeongbuk,gyeongju,37,37020
gyeongbuk,gimcheon,37,37030
gyeongbuk,andong,37,37040
gyeongbuk,gumi,37,37050
gyeongbuk,yeongju,37,37060
gyeongbuk,yeongcheon,37,37070
gyeongbuk,sangju,37,37080
gyeongbuk,gyeongsan,37,37100
gyeongbuk,gunwi,37,37310
gyeongbuk,uiseong,37,37320
gyeongbuk,cheongsong,37,37330
gyeongbuk,yeongyang,37,37340
gyeongbuk,yeongdeok,37,37350
gyeongbuk,cheongdo,37,37360
gyeongbuk,goryeong,37,37370
gyeongbuk,seongju,37,37380
gyeongbuk,chilgok,37,37390
gyeongbuk,yecheon,37,37400
gyeongbuk,bonghwa,37,37410
gyeongbuk,uljin,37,37420
gyeongbuk,ulleung,37,37430
gyeongbuk,jeomchon,37,37800
gyeongbuk,andong,37,37810
gyeongbuk,yeongil,37,37820
gyeongbuk,gyeongju,37,37830
gyeongbuk,yeongcheon,37,37840
gyeongbuk,gyeongsan,37,37850
gyeongbuk,geumneung,37,37860
gyeongbuk,seonsan,37,37870
gyeongbuk,sangju,37,37880
gyeongbuk,mungyeong,37,37890
gyeongbuk,yeongpung,37,37900
gyeongbuk,dalseong,37,37918
gyeongnam,changwon,38,38010
gyeongnam,masan happo,38,38031
gyeongnam,masan hoewon,38,38032
gyeongnam,jinju,38,38040
gyeongnam,jinhae,38,38050
gyeongnam,gimhae,38,38080
gyeongnam,miryang,38,38090
gyeongnam,uiryeong,38,38310
gyeongnam,haman,38,38320
gyeongnam,changnyeong,38,38330
gyeongnam,yangsan,38,38340
gyeongnam,goseong,38,38350
gyeongnam,namhae,38,38360
gyeongnam,hadong,38,38370
gyeongnam,sancheong,38,38380
gyeongnam,hamyang,38,38390
gyeongnam,geochang,38,38400
gyeongnam,hapcheon,38,38410
gyeongnam,chungmu,38,38800
gyeongnam,samcheonpo,38,38810
gyeongnam,jangseungpo,38,38820
gyeongnam,jinyang,38,38830
gyeongnam,miryang,38,38840
gyeongnam,ulju,38,38850
gyeongnam,gimhae,38,38860
gyeongnam,uichang,38,38870
gyeongnam,tongyeong,38,38880
gyeongnam,geoje,38,38890
gyeongnam,sacheon,38,38900
gyeongnam,ulsan jung,38,38920
gyeongnam,ulsan nam,38,38930
gyeongnam,ulsan dong,38,38940
jeju,jeju,38,39010
jeju,seogwipo,38,39020
jeju,bukjeju,38,39310
jeju,namjeju,38,39320
